[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:14:16 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x60d1e5ea24a5e597542bcb82c7dd1bb9f03a47afbc3b4a1673f01b8a6accc182
[09:14:39 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x8f14e7e8246da7b984988500754bc2d600818b38873e2cec142810bd7c63e97b
[09:17:42 | 15-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:17:45 | 15-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[04:57:06 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xf5de18472e08a4a443f713afb24fecba4e8ab9d40e44fd70c119151d88a5b916
[04:57:14 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x5d8366aa25e5076bd98b956d368f9beb7e191ee79afab61b5da1556f8abc1706
[05:00:17 | 16-02-2025] Transfer Task successful for 0xEf409f22bcF59F1329Ee96f8ceA7f52eDf41F8e4
[05:00:20 | 16-02-2025] Bridge Task successful for 0xEf409f22bcF59F1329Ee96f8ceA7f52eDf41F8e4
[09:21:38 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xa8aacf4ec4e2371b4b35c8856b27a740a850825d5a573e634dbfc874deea652d
[09:21:50 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x599633868b4c07bcc22098f0746d86061be54330728dd4cbfae03eac60e0bf42
